437
Aloof Lupine|MP20-EN015
Crystron Rion|INOV-ENSE3
Cyber Dragon|GFP2-EN178
Cyber Dragon|OP16-EN001
Cyber Dragon|YS15-ENY04
Cyber Raider|BPW2-EN008
Cyber Raider|WGRT-EN008
Dingirsu, the Orcust of the Evening Star|OP11-EN001
Divine Arsenal AA-ZEUS - Sky Thunder|OP18-EN002
DUCKER Mobile Cannon|YS15-ENY09
F.A. Shining Star GT|MP20-EN144
Galatea, the Orcust Automaton|OP10-EN003
Gear Gigant X|CT10-EN017
Gizmek Orochi, the Serpentron Sky Slasher|MP20-EN114
Gizmek Yata, the Gleaming Vanguard|MP20-EN163
Grandopolis, The Eternal Golden City|2014-AE003
Grandopolis, The Eternal Golden City|2013-EN001
Green Gadget|YGLD-ENC16
Infinitrack Anchor Drill|MP20-EN207
Infinitrack Brutal Dozer|MP20-EN162
Infinitrack Crab Crane|MP20-EN208
Infinitrack Drag Shovel|MP20-EN209
Infinitrack Earth Slicer|MP20-EN214
Infinitrack Fortress Megaclops|MP20-EN216
Infinitrack Goliath|MP20-EN215
Infinitrack Harvester|MP20-EN206
Infinitrack Mountain Smasher|MP20-EN213
Infinitrack River Stormer|MP20-EN212
Infinitrack Trencher|MP20-EN210
Infinitrack Tunneller|MP20-EN211
Iron Knight of Revolution|2017-EN002
Karakuri Barrel mdl 96 "Shinkuro"|STBL-EN088
Karakuri Shogun mdl 00 "Burei"|CT10-EN009
Leonardo's Silver Skyship|2014-EN002
Lorelei, the Symphonic Arsenal|WCPS-EN802
Mecha Phantom Beast Blackfalcon|BPW2-EN061
Mecha Phantom Beast Blackfalcon|WGRT-EN061
Mecha Phantom Beast Stealthray|BPW2-EN062
Mecha Phantom Beast Stealthray|WGRT-EN062
Mecha Phantom Beast Tetherwolf|BPW2-EN060
Mecha Phantom Beast Tetherwolf|WGRT-EN060
Mecha Phantom Beast Turtletracer|LTGY-ENSP1
Meklord Army of Granel|BPW2-EN040
Meklord Army of Granel|WGRT-EN040
Meklord Astro Mekanikle|WQ11-EN001
Meklord Emperor Granel|WQ11-EN003
Number 40: Gimmick Puppet of Strings|CT10-EN011
Number 88: Gimmick Puppet of Leo|CT10-EN013
Red Gadget|YGLD-ENC17
Sergeant Electro|BPW2-EN043
Sergeant Electro|WGRT-EN043
Sky Striker Ace - Hayate|OP10-EN002
Sky Striker Ace - Kagari|OP08-EN002
Sky Striker Ace - Kaina|MP20-EN023
Sky Striker Ace - Kaina|OP11-EN002
Sky Striker Ace - Shizuku|OP09-EN003
Speedroid Terrortop|OP03-EN002
Super Anti-Kaiju War Machine Mecha-Thunder-King|MP20-EN036
Super Quantal Mech Beast Grampulse|OP03-EN003
Superdreadnought Rail Cannon Gustav Max|CT10-EN007
Time Thief Bezel Ship|MP20-EN038
Time Thief Regulator|MP20-EN039
Yellow Gadget|YGLD-ENC18
Amazement Abomination Arlekino|CYAC-EN023
Ghost Ogre & Snow Rabbit|OP05-EN001
Hyper Psychic Riser|MP20-EN019
Kashtira Fenrir|OP21-EN003
Libromancer Geek Boy|
Libromancer Geek Boy|BACH-ENSP1
Psychic Wheeleder|MP20-EN014
Shelga, the Tri-Warlord|2016-EN002
Time Thief Redoer|MP20-EN040
Time Thief Winder|MP20-EN037
Gentlemander|BPW2-EN063
Gentlemander|WGRT-EN063
Worm Apocalypse|BPW2-EN028
Worm Apocalypse|WGRT-EN028
Worm Jetelikpse|BPW2-EN029
Worm Jetelikpse|WGRT-EN029
Apprentice Magician|BATT-EN002
Chow Len the Prophet|BPW2-EN044
Chow Len the Prophet|WGRT-EN044
Dark Magician|2021-EN001
Dark Magician|GFTP-EN128
Dark Magician|MVP1-ENSV3
Dark Magician|MVP1-ENGV3
Dark Magician Girl|GFP2-EN177
Dark Magician Girl|LART-EN019
Dark Magician of Chaos|YGLD-ENC02
Dark Paladin|YGLD-ENC41
Dogmatika Ecclesia, the Virtuous|OP18-EN001
Droll & Lock Bird|MAGO-EN006
Droll & Lock Bird|OP08-EN001
Ebon Illusion Magician|SHVI-ENSE1
Effect Veiler|ORCS-ENSE1
Engraver of the Mark|CORE-ENSE3
Exodia the Forbidden One|YGLD-ENA17
E☆HERO Pit Boss|2013-EN002
Fog King|OP02-EN001
Fog King|BPW2-EN099
Fog King|WGRT-EN099
Gagaga Girl|ABYR-ENSE1
Gagaga Magician|ZTIN-ENV01
Gravekeeper's Descendant|BATT-EN010
Gravekeeper's Priestess|ABPF-ENSP1
Herald of Creation|YS15-ENY05
High Priestess of Prophecy|BPW2-EN100
High Priestess of Prophecy|WGRT-EN100
Hiita the Fire Charmer, Ablaze|PHRA-EN100
Hiita the Fire Charmer, Ablaze|MP20-EN024
Kazejin|BPW2-EN004
Kazejin|WGRT-EN004
Kuzunoha, the Onmyojin|2015-EN001
Left Arm of the Forbidden One|YGLD-ENA21
Left Leg of the Forbidden One|YGLD-ENA19
Legendary Magician of Dark|WSUP-EN052
Legendary Magician of Dark|2012-EN002
Legendary Magician of Dark|2012-EN002
Lyla, Lightsworn Sorceress|BPW2-EN022
Lyla, Lightsworn Sorceress|WGRT-EN022
Magician of Black Chaos|YGLD-ENC01
Magician's Robe|SHVI-ENSE3
Maha Vailo|YS15-ENY07
Masterful Magician, Servant of the Sanctuary|2023-EN001
Medium of the Ice Barrier|BPW2-EN031
Medium of the Ice Barrier|WGRT-EN031
Mementotlan Angwitch|VASM-EN005
Mystical Elf|YGLD-ENA14
Mystical Elf|YS15-ENY02
Mystical Elf - White Lightning|LDS3-EN135
Noritoshi in Darkest Rainment|2019-EN004
Noritoshi in Darkest Rainment|2018-EN001
Number 11: Big Eye|AP06-EN002
Number 11: Big Eye|BPW2-EN102
Number 11: Big Eye|WGRT-EN102
Otohime|BPW2-EN005
Otohime|WGRT-EN005
Red-Eyes Dark Dragoon|MP20-EN249
Right Arm of the Forbidden One|YGLD-ENA20
Right Leg of the Forbidden One|YGLD-ENA18
Rogue Doll|SS01-ENA03
Rogue Doll|SS01-ENC01
Rogue of Endymion|MP20-EN146
Silent Magician LV4|YGLD-ENC05
Silent Magician LV8|YGLD-ENC04
Skilled Dark Magician|YGLD-ENC19
Skilled White Magician|YGLD-ENC20
T.G. Hyper Librarian|WQ11-EN002
Testament of the Arcane Lords|WCPS-AE703
Testament of the Arcane Lords|WCPS-EN601
The Dark Magicians|LDS3-EN090
The King of D.|LC06-EN002
The Tricky|YGLD-ENC12
Tsukuyomi|AP01-EN001
Water Enchantress of the Temple|OP19-EN002
Witchcrafter Edel|MP20-EN222
Witchcrafter Golem Aruru|MP20-EN113
Witchcrafter Haine|MP20-EN223
Witchcrafter Madame Verre|MP20-EN224
Witchcrafter Pittore|MP20-EN220
Witchcrafter Potterie|MP20-EN219
Witchcrafter Schmietta|MP20-EN221
Wynn the Wind Charmer, Verdant|MP20-EN124
Battlestorm|RGBT-ENSP1
Blackwing - Elphin the Raven|BPW2-EN026
Blackwing - Elphin the Raven|WGRT-EN026
Blackwing - Elphin the Raven|CT06-ENS01
Blackwing - Gram the Shining Star|TDIL-ENSE1
Blackwing Armor Master|BATT-EN009
Castel, the Skyblaster Musketeer|AP07-EN002
Cyber Harpie Lady|BATT-EN012
D.D. Crow|ROTD-EN100
Earthbound Immortal Aslla piscu|CT06-ENS02
Floowandereeze & Empen|
Gladiator Beast Gyzarus|BATT-EN008
Gladiator Beast Sagittarii|MP20-EN155
Hraesvelgr, the Desperate Doom Eagle|MP20-EN141
Kaiser Eagle, the Heavens' Mandate|2019-EN001
Raider's Wing|MP21-EN166
Sky Scout|DB1-EN094
Sky Scout|SDJ-011
Sky Scout|PSV-049
Tornado Bird|DB2-EN009
Ulevo|WCS-EN401
Vortex the Whirlwind|STOR-ENSP1
Winged Sage Falcos|BPW2-EN007
Winged Sage Falcos|WGRT-EN007
