211
Evilswarm Ketos|WGRT-EN050
Safe Zone|WGRT-EN103
Dark Bribe|WGRT-EN087
Negate Attack|YS15-ENY20
Riryoku Field|WGRT-EN080
Axe of Despair|YS15-END14
Black Pendant|YS15-ENY15
Black Pendant|WGRT-EN068
Lucky Iron Axe|WGRT-EN074
Malevolent Nuzzler|YS15-ENY16
Megamorph|WGRT-EN069
Ribbon of Rebirth|WGRT-EN076
Stim-Pack|WGRT-EN067
